iter	Passed	Remaining
925	8795	702
926	8805	693
927	8814	683
928	8823	674
929	8832	664
930	8841	655
931	8850	645
932	8859	636
933	8869	626
934	8878	617
935	8887	607
936	8897	598
937	8906	588
938	8915	579
939	8925	569
940	8934	560
941	8944	550
942	8953	541
943	8962	531
944	8972	522
945	8981	512
946	8990	503
947	9000	493
948	9009	484
949	9018	474
950	9028	465
951	9037	455
952	9046	446
953	9056	436
954	9065	427
955	9075	417
956	9084	408
957	9093	398
958	9102	389
959	9111	379
960	9121	370
961	9130	360
962	9139	351
963	9148	341
964	9158	332
965	9167	322
966	9175	313
967	9185	303
968	9194	294
969	9204	284
970	9213	275
971	9223	265
972	9232	256
973	9241	246
974	9250	237
975	9259	227
976	9268	218
977	9277	208
978	9286	199
979	9296	189
980	9305	180
981	9315	170
982	9324	161
983	9334	151
984	9343	142
985	9352	132
986	9362	123
987	9371	113
988	9380	104
989	9389	94
990	9398	85
991	9407	75
992	9416	66
993	9425	56
994	9435	47
995	9444	37
996	9453	28
997	9462	18
998	9472	9
999	9481	0
